epoch,optimizer,train_loss,train_accuracy,val_loss,val_accuracy,time_s,step,val_perplexity
1,atlas,11.0974,0.0,10.9574,0.0,298.1,100.0,
2,atlas,10.3281,3.87,9.4789,9.15,296.2,200.0,
3,atlas,7.936,11.28,7.169,12.94,296.4,300.0,
4,atlas,6.7863,13.4,6.5453,14.35,297.3,400.0,
5,atlas,6.3498,14.75,6.2313,15.35,298.5,500.0,
6,atlas,6.0773,15.72,5.9815,16.12,297.4,600.0,
7,atlas,5.8374,16.6,5.7291,17.29,297.8,700.0,
8,atlas,5.5803,18.05,5.4614,18.82,298.1,800.0,
9,atlas,5.29,20.04,5.1577,21.02,298.2,900.0,
10,atlas,5.0095,22.17,4.8952,23.09,298.4,1000.0,
11,atlas,4.7693,24.2,4.6717,24.96,297.2,1100.0,
12,atlas,4.5636,26.06,4.4714,26.9,297.1,1200.0,
13,atlas,4.3861,27.79,4.3099,28.46,296.9,1300.0,
14,atlas,4.2337,29.34,4.1612,30.06,297.0,1400.0,
1,atlas_raw,11.0117,0.0,10.9574,0.0,301.3,100.0,
2,atlas_raw,10.2277,5.11,9.4263,9.43,296.9,200.0,
3,atlas_raw,7.8594,11.68,7.1088,13.44,296.5,300.0,
4,atlas_raw,6.7035,14.16,6.4703,14.76,295.7,400.0,
5,atlas_raw,6.2482,15.51,6.1224,16.15,297.2,500.0,
6,atlas_raw,5.9427,16.76,5.8215,17.42,297.3,600.0,
7,atlas_raw,5.6217,18.71,5.4686,19.76,296.8,700.0,
8,atlas_raw,5.2705,21.11,5.1246,22.12,297.2,800.0,
9,atlas_raw,4.9687,23.33,4.8473,24.22,296.9,900.0,
10,atlas_raw,4.723,25.27,4.6231,26.04,296.0,1000.0,
11,atlas_raw,4.517,27.08,4.4282,27.85,296.3,1100.0,
12,atlas_raw,4.3411,28.77,4.2661,29.47,296.9,1200.0,
13,atlas_raw,4.1967,30.16,4.1361,30.74,295.1,1300.0,
14,atlas_raw,4.0775,31.29,4.024,31.73,296.2,1400.0,
1,atlas_random,10.9917,0.0,10.9574,0.0,299.4,100.0,
2,atlas_random,10.2007,5.24,9.408,9.39,295.8,200.0,
3,atlas_random,7.8351,11.85,7.0952,13.55,295.9,300.0,
4,atlas_random,6.6787,14.33,6.4479,14.95,299.0,400.0,
5,atlas_random,6.2245,15.7,6.1018,16.25,297.5,500.0,
6,atlas_random,5.9077,17.06,5.7745,17.95,297.1,600.0,
7,atlas_random,5.5574,19.39,5.3925,20.52,296.1,700.0,
8,atlas_random,5.2018,21.77,5.0638,22.72,296.5,800.0,
9,atlas_random,4.9142,23.86,4.8033,24.68,296.2,900.0,
10,atlas_random,4.6809,25.72,4.5838,26.51,296.7,1000.0,
11,atlas_random,4.4827,27.5,4.3975,28.3,296.5,1100.0,
12,atlas_random,4.314,29.12,4.2428,29.7,296.6,1200.0,
13,atlas_random,4.1761,30.42,4.116,30.91,296.2,1300.0,
14,atlas_random,4.0635,31.47,4.0107,31.91,296.5,1400.0,
1,adam,10.9548,0.0,10.9574,0.0,294.1,100.0,
2,adam,9.6132,6.69,8.9314,8.17,292.5,200.0,
3,adam,7.9305,9.48,7.3809,11.4,292.8,300.0,
4,adam,7.0124,13.25,6.7875,14.5,294.8,400.0,
5,adam,6.5472,15.61,6.4208,16.16,292.9,500.0,
6,adam,6.2611,17.03,6.17,17.55,293.8,600.0,
7,adam,6.0079,18.48,5.9305,18.9,292.3,700.0,
8,adam,5.8136,19.42,5.7375,19.77,293.5,800.0,
9,adam,5.6126,20.35,5.5432,20.6,292.9,900.0,
10,adam,5.4384,21.15,5.3805,21.39,292.5,1000.0,
11,adam,5.2929,21.87,5.2512,22.05,293.9,1100.0,
12,adam,5.1715,22.51,5.1263,22.73,292.4,1200.0,
13,adam,5.0537,23.19,5.0156,23.32,294.1,1300.0,
14,adam,4.9518,23.79,4.9156,23.91,292.8,1400.0,
1,sgd,10.9548,0.0,10.9574,0.0,292.8,100.0,
2,sgd,10.8507,0.05,10.7505,0.47,291.7,200.0,
3,sgd,10.4222,3.7,10.0816,4.44,292.1,300.0,
4,sgd,9.5427,5.19,9.1592,6.62,291.7,400.0,
5,sgd,8.9018,7.11,8.7418,7.68,291.0,500.0,
6,sgd,8.6187,7.55,8.5416,7.85,291.6,600.0,
7,sgd,8.5063,7.82,8.4583,8.15,292.3,700.0,
8,sgd,8.4383,8.04,8.3883,8.41,292.3,800.0,
9,sgd,8.3522,8.27,8.2661,8.68,291.2,900.0,
10,sgd,8.2782,8.3,8.2568,8.44,291.1,1000.0,
11,sgd,8.2089,8.21,8.1892,8.33,292.0,1100.0,
12,sgd,8.1475,7.83,8.0771,7.94,291.3,1200.0,
13,sgd,8.0599,7.62,8.095,7.17,291.8,1300.0,
14,sgd,8.1014,6.38,8.0589,6.87,292.5,1400.0,
1,muon,10.9548,0.0,10.9574,0.0,296.1,100.0,22026.47
2,muon,10.1926,4.84,9.4456,8.75,296.6,200.0,12652.99
